Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,a00041zj,7,"Tuesday, October 19, 2010 21:16:24 UTC",-20.2817,-173.7208,5.1,44.50,125,"Tonga"
ci,14864172,5,"Tuesday, October 19, 2010 20:58:42 UTC",32.0838,-115.2337,3.7,10.00,12,"Baja California, Mexico"
us,a00041xp,4,"Tuesday, October 19, 2010 20:49:08 UTC",-6.4013,104.9148,5.0,41.80,14,"Sunda Strait, Indonesia"
ak,10103866,1,"Tuesday, October 19, 2010 20:46:19 UTC",60.4016,-152.2673,1.8,72.00,14,"Southern Alaska"
ci,14864164,2,"Tuesday, October 19, 2010 20:41:42 UTC",35.9375,-117.6590,1.2,5.20,14,"Central California"
us,a00041xi,1,"Tuesday, October 19, 2010 20:39:38 UTC",-20.4689,-173.5821,5.5,21.10,157,"Tonga"
us,a00041x8,7,"Tuesday, October 19, 2010 20:17:54 UTC",-43.5178,172.4699,4.0,19.20,14,"South Island of New Zealand"
ci,14864116,4,"Tuesday, October 19, 2010 20:07:18 UTC",36.0367,-117.7743,1.8,3.60,31,"Central California"
ci,14864092,2,"Tuesday, October 19, 2010 19:51:54 UTC",34.1713,-117.2127,1.7,13.10,13,"Greater Los Angeles area, California"
nn,00319065,7,"Tuesday, October 19, 2010 19:36:50 UTC",36.3675,-116.3270,1.6,0.50,16,"Nevada"
nn,00319063,7,"Tuesday, October 19, 2010 19:09:33 UTC",38.7768,-117.0336,1.8,2.00, 7,"Nevada"
ak,10103818,1,"Tuesday, October 19, 2010 19:01:48 UTC",63.2048,-150.0133,1.4,120.40,15,"Central Alaska"
us,a00041w3,4,"Tuesday, October 19, 2010 18:48:03 UTC",-4.8819,133.6080,4.8,23.90,24,"near the south coast of Papua, Indonesia"
nc,71476311,0,"Tuesday, October 19, 2010 18:46:47 UTC",38.7947,-122.7583,1.2,2.60,17,"Northern California"
nc,71476291,2,"Tuesday, October 19, 2010 18:04:39 UTC",36.5957,-121.1112,1.3,7.60,23,"Central California"
nc,71476271,0,"Tuesday, October 19, 2010 17:57:13 UTC",38.8393,-122.7727,1.2,2.20,12,"Northern California"
nc,71476281,0,"Tuesday, October 19, 2010 17:56:42 UTC",38.8385,-122.7892,1.2,1.10,14,"Northern California"
us,a00041vl,6,"Tuesday, October 19, 2010 17:53:17 UTC",35.2286,-97.4339,2.8,10.90,29,"Oklahoma City urban area, Oklahoma"
nc,71476251,2,"Tuesday, October 19, 2010 17:53:01 UTC",38.8385,-122.7883,1.7,1.60,14,"Northern California"
nc,71476241,2,"Tuesday, October 19, 2010 17:51:48 UTC",38.8502,-122.7962,3.4,0.00,56,"Northern California"
